review_id,review_decision,review_reason
SGA2-0001,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0002,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0003,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0004,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0005,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0006,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0007,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0008,INVALID,PRIOR_RANGE_SELECTED_INSTEAD_OF_CURRENT_RANGE
SGA2-0009,INVALID,PRIOR_RANGE_SELECTED_INSTEAD_OF_CURRENT_RANGE
SGA2-0010,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0011,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0012,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0013,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0014,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0015,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0016,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0017,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0018,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0019,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0020,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0021,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0022,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0023,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0024,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0025,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0026,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0027,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0028,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0029,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0030,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0031,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0032,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0033,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
