id,layer,family,formula,horizon,inputs,source_path,source_symbol,pit_status,current_weight,evidence_status,authority,duplicate_group
V4_MONTHLY_RSI,OPERATIONAL_V4_INPUT,PRICE_MOMENTUM,"Wilder RSI(14) on completed month closes, normalized by own-history percentile",14 months plus normalization history,['adjusted OHLCV'],data/indicators/rsi.py,calc_monthly_rsi,AVAILABLE,0.24,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_WEEKLY_RSI,OPERATIONAL_V4_INPUT,PRICE_MOMENTUM,"Wilder RSI(14) on completed week closes, normalized by own-history percentile",14 weeks plus normalization history,['adjusted OHLCV'],data/indicators/rsi.py,calc_weekly_rsi,AVAILABLE,0.19,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_52W_POSITION,OPERATIONAL_V4_INPUT,PRICE_POSITION,"(close - 252d low) / (252d high - 252d low), own-history percentile",252 sessions,['adjusted OHLCV'],data/indicators/price_position.py,calc_52w_position,AVAILABLE,0.19,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_MA200_DEVIATION,OPERATIONAL_V4_INPUT,PRICE_TREND,"close / SMA200 - 1, own-history percentile",200 sessions,['adjusted close'],data/indicators/price_position.py,calc_ma200_deviation,AVAILABLE,0.18,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_VOLUME_STRENGTH,OPERATIONAL_V4_INPUT,PARTICIPATION,"SMA5(volume) / SMA20(volume), own-history percentile",5/20 sessions,['volume'],data/indicators/volume.py,calc_volume_strength,AVAILABLE,0.0,LEGACY_DISABLED,NONE,VOLUME_PARTICIPATION
V4_MA200_WEEKLY,OPERATIONAL_V4_INPUT,PRICE_TREND,"completed weekly close / available SMA up to 200 weeks, own-history percentile",up to 200 weeks,['adjusted close'],data/indicators/ma200_weekly.py,calc_ma200_weekly,AVAILABLE_WITH_SHORT_HISTORY_FALLBACK,0.2,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,LONG_TREND
V4_EPS_MULTIPLIER,OPERATIONAL_V4_MULTIPLIER,FUNDAMENTAL_EVENT,latest 2-4 consecutive quarterly EPS beat/miss multiplier 0.85-1.15,latest four quarters,['Finnhub earnings'],data/herd/earnings_point_in_time.py,build_eps_multiplier_series,LATEST_ONLY_IN_OPERATION; HISTORICAL_BACKFILL_EXCLUDED,,LEGACY_ACTIVE_PIT_LIMITED,LEGACY_SCORE_ONLY,BUSINESS_STATE
V4_SECTOR_MULTIPLIER,OPERATIONAL_V4_MULTIPLIER,RELATIVE_STRENGTH,"stock return minus mapped sector ETF return, bucketed multiplier 0.90-1.10",90 observations,"['stock price', 'sector ETF price']",data/collectors/sector_collector.py,get_sector_multiplier,LATEST_ONLY_IN_OPERATION,,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,RELATIVE_STRENGTH
V61_STABILIZED_HERD,DERIVED_ACTION_CONTEXT,STATE_STABILITY,retain previous boundary side within 2 point crossing band,previous observation,['HERD v4'],data/herd/backtest_validation_v2.py,make_v61_decision,AVAILABLE,,DERIVED_LEGACY,ACTION_CONTEXT_ONLY,V4_DERIVATIVE
V61_TREND_QUALITY,DERIVED_ACTION_CONTEXT,PRICE_TREND,"rule score from weekly MA200, MA200 deviation, 52w position, sector and EPS",mixed,['HerdIndicator'],backend/src/main/java/com/herdsignal/service/HerdTrendQualityCalculator.java,calculate,MIXED,,UNVALIDATED_COMPOSITE,ACTION_CONTEXT_ONLY,V4_RECOMBINATION
