review_id,review_decision,review_reason
SG3X-0001,INVALID,FISCAL_PERIOD_FROM_TABLE_FOOTNOTE
SG3X-0002,INVALID,RESPECTIVELY_SINGLE_VALUES_MERGED_AS_RANGE
SG3X-0003,INVALID,WRONG_METRIC_CASH_TAX_REFUND_RANGE
SG3X-0004,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0005,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0006,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0007,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0008,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0009,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0010,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0011,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0012,INVALID,QUARTER_RANGE_MAPPED_TO_FULL_YEAR
SG3X-0013,INVALID,REPORTED_BASIS_NOT_BOUND_TO_RANGE
SG3X-0014,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0015,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0016,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0017,INVALID,QUARTER_RANGE_MAPPED_TO_FULL_YEAR
SG3X-0018,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0019,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0020,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0021,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0022,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0023,INVALID,COMPARISON_YEAR_MAPPED_AS_GUIDANCE_YEAR
SG3X-0024,INVALID,QUARTER_RANGE_MAPPED_TO_FULL_YEAR
SG3X-0025,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0026,INVALID,ADJUSTED_BASIS_NOT_BOUND_TO_RANGE
SG3X-0027,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0028,INVALID,RESULTS_QUARTER_MAPPED_TO_FULL_YEAR_GUIDANCE
SG3X-0029,INVALID,NORMALIZED_BASIS_NOT_BOUND_TO_RANGE
SG3X-0030,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0031,VALID,EXPLICIT_CURRENT_RANGE
